code_creation_date,integration_release_date,code_id,channel,spend,signed_up_users,signed_up_users_1_month,signed_up_users_3_month,cac,cac_1_month,cac_3_month,paying_users,profit_actual_by_paid,ROAS,ROAS_6
"3 March, 2022","26 March, 2022",530,instagram_bloggers,"114,000",16,13,16,"7,125","8,769.23","7,125",16,"87,322",77%,0.00%
"9 March, 2022","17 March, 2022",531,youtube_bloggers,"50,000",4,1,4,"12,500","50,000","12,500",4,"12,952",26%,0.00%
"10 March, 2022","11 March, 2022",532,youtube_bloggers,"80,000",1,1,1,"80,000","80,000","80,000",1,419,1%,0.00%
"10 March, 2022","13 March, 2022",533,youtube_bloggers,"202,800",60,60,60,"3,380","3,380","3,380",54,"208,604",103%,0.00%
"11 March, 2022","10 March, 2022",534,instagram_bloggers,"31,800",2,2,2,"15,900","15,900","15,900",2,"4,652",15%,0.00%
"12 March, 2022","12 March, 2022",535,youtube_bloggers,"63,000",29,29,29,"2,172","2,172.41","2,172.41",28,"114,412",182%,0.00%
"12 March, 2022","12 March, 2022",536,instagram_bloggers,"150,000",8,5,7,"18,750","30,000","21,428.57",8,"23,008",15%,0.00%
"15 March, 2022","15 March, 2022",537,instagram_bloggers,"30,000",1,0,1,"30,000",0,"30,000",1,"1,181",4%,0.00%
"16 March, 2022","18 March, 2022",538,instagram_bloggers,"5,000",1,0,1,"5,000",0,"5,000",1,"3,468",69%,0.00%
"16 March, 2022","19 March, 2022",539,youtube_bloggers,"34,043",6,5,6,"5,674","6,808.6","5,673.83",3,"8,884",26%,0.00%
"16 March, 2022","21 March, 2022",540,instagram_bloggers,"53,000",16,12,16,"3,313","4,416.67","3,312.5",16,"76,586",145%,0.00%
"16 March, 2022","22 March, 2022",541,youtube_bloggers,"261,600",67,59,67,"3,904","4,433.9","3,904.48",58,"167,059",64%,0.00%
"16 March, 2022","24 March, 2022",542,youtube_bloggers,"53,191",8,8,8,"6,649","6,648.88","6,648.88",6,"18,991",36%,0.00%
"18 March, 2022","23 March, 2022",543,youtube_bloggers,"42,650",2,2,2,"21,325","21,325","21,325",2,"1,408",3%,0.00%
"18 March, 2022","6 April, 2022",544,instagram_bloggers,"17,560",2,2,2,"8,780","8,780",0,2,838,5%,0.00%
"18 March, 2022","26 April, 2022",545,youtube_bloggers,"28,000",4,2,4,"7,000","14,000",0,3,"4,968",18%,0.00%
"18 March, 2022","26 April, 2022",546,youtube_bloggers,"50,000",6,5,6,"8,333","10,000",0,6,"7,736",15%,0.00%
"21 March, 2022","25 March, 2022",547,instagram_bloggers,"12,000",1,1,1,"12,000","12,000","12,000",1,"7,283",61%,0.00%
"21 March, 2022","25 March, 2022",548,instagram_bloggers,"7,000",1,1,1,"7,000","7,000","7,000",1,419,6%,0.00%
"21 March, 2022","29 March, 2022",549,instagram_bloggers,"24,380",7,6,7,"3,483","4,063.33","3,482.86",6,"18,169",75%,0.00%
"21 March, 2022","31 March, 2022",550,youtube_bloggers,"330,000",10,8,10,"33,000","41,250","33,000",8,"18,914",6%,0.00%
"23 March, 2022","29 March, 2022",551,instagram_bloggers,"4,240",5,5,5,848,848,848,5,"17,527",413%,0.00%
"23 March, 2022","31 March, 2022",552,instagram_bloggers,"30,000",2,2,2,"15,000","15,000","15,000",1,989,3%,0.00%
"23 March, 2022","3 April, 2022",553,youtube_bloggers,"26,175",3,3,3,"8,725","8,725","8,725",3,"18,401",70%,0.00%
"24 March, 2022","24 March, 2022",554,instagram_bloggers,"12,000",1,1,1,"12,000","12,000","12,000",1,"9,756",81%,0.00%
"24 March, 2022","31 March, 2022",555,instagram_bloggers,"10,000",4,1,4,"2,500","10,000","2,500",4,"5,673",57%,0.00%
"24 March, 2022","31 March, 2022",556,instagram_bloggers,"43,000",7,5,7,"6,143","8,600","6,142.86",6,"17,085",40%,0.00%
"25 March, 2022","30 March, 2022",557,youtube_bloggers,"720,000",152,132,150,"4,737","5,454.55","4,800",148,"513,306",71%,0.00%
"28 March, 2022","28 March, 2022",558,instagram_bloggers,"15,000",2,2,2,"7,500","7,500","7,500",2,"1,978",13%,0.00%
"28 March, 2022","29 March, 2022",559,youtube_bloggers,"100,000",21,21,21,"4,762","4,761.9","4,761.9",19,"83,838",84%,0.00%
"28 March, 2022","14 April, 2022",560,youtube_bloggers,"600,000",106,98,106,"5,660","6,122.45",0,91,"248,921",41%,0.00%
"29 March, 2022","29 March, 2022",561,youtube_bloggers,"67,000",14,11,14,"4,786","6,090.91","4,785.71",13,"47,936",72%,0.00%
